[WARN] 2023-02-15 18:40:51.797390+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\cogs\automatic\__pycache__\fileListener.cpython-310.pyc
[WARN] 2023-02-15 18:40:51.797390+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\cogs\automatic\__pycache__\_base.cpython-310.pyc
[WARN] 2023-02-15 18:40:51.798739+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\cogs\automatic\__pycache__\__init__.cpython-310.pyc
[WARN] 2023-02-15 18:40:51.799242+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\cogs\events
[WARN] 2023-02-15 18:40:51.799242+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\cogs\events\__init__.py
[WARN] 2023-02-15 18:40:51.799242+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\libs
[WARN] 2023-02-15 18:40:51.799242+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\libs\Directory.py
[WARN] 2023-02-15 18:40:51.799242+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\libs\File.py
[WARN] 2023-02-15 18:40:51.800382+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\libs\__pycache__
[WARN] 2023-02-15 18:40:51.800382+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\libs\__pycache__\Directory.cpython-310.pyc
[WARN] 2023-02-15 18:40:51.800382+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\libs\__pycache__\File.cpython-310.pyc
[WARN] 2023-02-15 18:40:51.800382+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\logs
[WARN] 2023-02-15 18:40:51.801489+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\logs\debug.log
[WARN] 2023-02-15 18:40:51.801489+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\src
[WARN] 2023-02-15 18:40:51.801489+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\src\bot.py
